City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Te Anau,NZ,-45.4167,167.7167,41.56,88,15,1.14,few clouds
135,Synya,RU,65.3718,58.0387,-7.67,98,8,2.53,clear sky
136,Tiarei,PF,-17.5333,-149.3333,86.02,76,52,21.85,light rain
137,Thompson,CA,55.7435,-97.8558,-11.04,64,20,4.61,few clouds
138,Leningradskiy,RU,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
139,Iqaluit,CA,63.7506,-68.5145,-32.31,66,71,1.99,broken clouds
140,Acapulco,MX,16.8634,-99.8901,84.97,51,40,10.65,scattered clouds
141,Renqiu,CN,38.6989,116.0936,29.71,45,100,2.1,overcast clouds
142,Sinnamary,GF,5.3833,-52.95,81.88,75,100,9.33,moderate rain
143,Mattru,SL,7.6244,-11.8332,82.8,62,6,8.79,clear sky
144,Homer,US,59.6425,-151.5483,28.78,93,75,0.0,broken clouds
145,Codrington,AU,-38.2667,141.9667,57.51,77,0,9.08,clear sky
146,Lianzhou,CN,24.7811,112.3825,52.16,98,100,3.33,light rain
147,Dingle,PH,10.9995,122.6711,73.38,89,63,8.48,broken clouds
148,Kaitangata,NZ,-46.2817,169.8464,43.86,88,10,1.45,clear sky
149,Parambu,BR,-6.2111,-40.6944,84.65,52,100,3.09,overcast clouds
150,Nata,PA,8.3333,-80.5167,91.27,41,23,18.01,few clouds
151,Dano,BF,11.15,-3.0667,86.27,11,0,4.5,clear sky
152,Clyde River,CA,70.4692,-68.5914,-32.57,75,0,5.75,clear sky
153,Imbituba,BR,-28.24,-48.6703,82.29,75,53,11.59,broken clouds
154,Bani,DO,18.2833,-70.3333,76.75,65,63,13.47,broken clouds
155,Lorengau,PG,-2.0226,147.2712,81.01,79,100,7.58,overcast clouds
156,Along,IN,28.1667,94.7667,48.25,96,54,0.6,broken clouds
157,Sibolga,ID,1.7427,98.7792,75.07,89,100,3.27,overcast clouds
