City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Vila Franca Do Campo,PT,64.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
266,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
269,Cabo San Lucas,MX,76.17,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
270,Am Timan,TD,78.73,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
271,Kharhial,IN,61.86,clear sky,20.2833,82.7667,Jeevan Chhaya
273,Amuntai,ID,72.59,overcast clouds,-2.4177,115.2494,Hotel Balqis
274,Port Lincoln,AU,70.99,clear sky,-34.7333,135.8667,Port Lincoln Hotel
276,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
279,Hukuntsi,BW,76.96,broken clouds,-24.0,21.75,Entabeni Hotel
284,Rutana,BI,57.88,light rain,-3.8667,30.1,Failles des Allemands
287,Praia Da Vitoria,PT,59.76,mist,38.7333,-27.0667,Hotel Branco I
289,Mount Gambier,AU,60.71,clear sky,-37.8333,140.7667,The Commodore
292,Akyab,MM,62.44,overcast clouds,20.15,92.9,Hotel Memory
293,Ahipara,NZ,72.84,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
296,Galveston,US,59.22,few clouds,29.3669,-94.9669,Crystal Suites
297,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
298,Progreso,MX,75.33,broken clouds,21.2833,-89.6667,Playa Linda Hotel
299,Benguela,AO,76.89,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
300,Avanigadda,IN,70.07,overcast clouds,16.0215,80.9181,AP Camping
307,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
310,Uvinza,TZ,66.83,light rain,-5.1036,30.3911,Crown Lodge and lounge
315,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
316,Macia,MZ,74.44,few clouds,-25.0269,33.0989,Hotel Taskin Macia
317,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
321,Chandbali,IN,64.18,overcast clouds,20.7833,86.7667,KABITA HOMES
325,Moramanga,MG,66.07,broken clouds,-18.9333,48.2,Espace VANILLA
328,Benghazi,LY,61.38,overcast clouds,32.1167,20.0667,Tibesti Hotel
329,Asosa,ET,66.56,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
331,Oliveira,BR,67.73,overcast clouds,-20.6964,-44.8272,Hotel Vila Mineira | Oliveira MG
332,Padang,ID,77.04,light rain,-0.9492,100.3543,Mercure Padang
334,Valle De Allende,MX,61.05,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
337,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
339,Galle,LK,77.41,overcast clouds,6.0367,80.217,Amangalla
342,Catuday,PH,75.4,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
344,Cacapava Do Sul,BR,77.94,clear sky,-30.5122,-53.4914,Hotel Portal
345,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
350,Maun,BW,76.23,overcast clouds,-19.9833,23.4167,Enviro Villa
355,Dublin,US,63.79,clear sky,37.7021,-121.9358,Pleasanton Marriott
361,Vryburg,ZA,73.78,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
362,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
365,Constitucion,CL,71.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
366,Kapit,MY,72.88,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
368,Ishigaki,JP,65.41,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
